definir_nombre_tournois 10
enregistrement_tournoi Londres 2019
Chernyshova_Maryna Kontaveit_Anett
Cepelova_Jana Anshba_Amina
Han_Xinyun Tauson_Clara
Ozaki_Risa Guo_Shanshan
Timofeeva_Maria Hertel_Anna
Hoedt_Merel Weedon_Andrea
Karatantcheva_Sesil Naef_Celine
Detiuc_Anastasia Falkner_Ziva
Perrin_Conny Arakawa_Haruna
Bouchard_Eugenie Kalinskaya_Anna
Kulikova_Anastasia Dentoni_Corinna
Bacsinszky_Timea Ainitdinova_Gozal
Maria_Tatjana Bouzkova_Marie
Ce_Gabriela Makarova_Ekaterina
Stevanovic_Natalija Minokoshi_Mai
Bosio_Victoria Hesse_Amandine
Bejenaru_Karola Liu_Fangzhou
Avdeeva_Julia Inoue_Miyabi
Bayerlova_Michaela Georgeta_Oana
Liu_Claire Andreeva_Erika
Osaka_Mari Stevens_Lexie
Tomova_Viktoriya Jeong_Sunam
Husaric_Anita Hindova_Denisa
Klincov_Bojana Vangelova_Ani
Granwehr_Alina Sawangkaew_Mananchaya
Bara_Irina Zacarias_Marcela
Tan_Harmony Capurro_Martina
Plazas_Jessica Garcia_Caroline
Pulchartova_Laetitia Bjorklund_Mirjam
Ramialison_Irina Burel_Clara
Lukas_Tena Anisimova_Amanda
Lene_Emma Fourlis_Jaimee
Glushko_Julia Stollar_Fanny
Colmegna_Martina Kudashova_Daria
Noel_Alexa Tran_Lian
Ioana_Laura Rubini_Stefania
Korpatsch_Tamara Rogowska_Olivia
Plipuech_Peangtarn Ureke_Anna
Cabaj_Jacqueline Jebawy_Jasmin
Vismane_Daniela Vedder_Eva
Bihan_Kelia Sabalenka_Aryna
Muhammad_Asia Mateas_Maria
Kruger_Zoe Ormaechea_Paula
Belgraver_Julie Olmos_Giuliana
Sonmez_Zeynep Zarycka_Anastasia
Sysoeva_Anastasia Zanevska_Maryna
Sevastova_Anastasija Eikeri_Ulrikke
Heisen_Vivian Reami_Adriana
Lapko_Vera Vidmanova_Darja
Babel_Oceane Namigata_Junri
Lee_Hua-Chen Gutierrez_Maria
Orange_Margaux Kim_Da-bin
Kolodziejova_Miriam Peng_Shuai
Herdzelas_Dea Arshinkova_Petia
Sugnaux_Tess Shimizu_Eri
Hosonuma_Chisa Markova_Johana
Minella_Mandy Sanesi_Gaia
Drummy_Georgia Gleason_Quinn
Olyanovskaya_Valeriya Rusova_Alica
Mitu_Andreea Zeballos_Noelia
Bhunu_Valeria Akugue_Noma
Gatto-Monticone_Giulia Kudermetova_Veronika
Visscher_Stephanie Caregaro_Martina
Shoshyna_Anastasiya Salvi_Linda
Chernyshova_Maryna Cepelova_Jana
Han_Xinyun Ozaki_Risa
Hoedt_Merel Timofeeva_Maria
Karatantcheva_Sesil Detiuc_Anastasia
Perrin_Conny Bouchard_Eugenie
Kulikova_Anastasia Bacsinszky_Timea
Maria_Tatjana Ce_Gabriela
Bosio_Victoria Stevanovic_Natalija
Avdeeva_Julia Bejenaru_Karola
Liu_Claire Bayerlova_Michaela
Osaka_Mari Tomova_Viktoriya
Husaric_Anita Klincov_Bojana
Granwehr_Alina Bara_Irina
Tan_Harmony Plazas_Jessica
Pulchartova_Laetitia Ramialison_Irina
Lene_Emma Lukas_Tena
Glushko_Julia Colmegna_Martina
Ioana_Laura Noel_Alexa
Korpatsch_Tamara Plipuech_Peangtarn
Vismane_Daniela Cabaj_Jacqueline
Bihan_Kelia Muhammad_Asia
Belgraver_Julie Kruger_Zoe
Sonmez_Zeynep Sysoeva_Anastasia
Sevastova_Anastasija Heisen_Vivian
Lapko_Vera Babel_Oceane
Orange_Margaux Lee_Hua-Chen
Herdzelas_Dea Kolodziejova_Miriam
Sugnaux_Tess Hosonuma_Chisa
Minella_Mandy Drummy_Georgia
Olyanovskaya_Valeriya Mitu_Andreea
Gatto-Monticone_Giulia Bhunu_Valeria
Visscher_Stephanie Shoshyna_Anastasiya
Chernyshova_Maryna Han_Xinyun
Hoedt_Merel Karatantcheva_Sesil
Kulikova_Anastasia Perrin_Conny
Bosio_Victoria Maria_Tatjana
Liu_Claire Avdeeva_Julia
Husaric_Anita Osaka_Mari
Granwehr_Alina Tan_Harmony
Pulchartova_Laetitia Lene_Emma
Glushko_Julia Ioana_Laura
Vismane_Daniela Korpatsch_Tamara
Bihan_Kelia Belgraver_Julie
Sevastova_Anastasija Sonmez_Zeynep
Lapko_Vera Orange_Margaux
Herdzelas_Dea Sugnaux_Tess
Minella_Mandy Olyanovskaya_Valeriya
Visscher_Stephanie Gatto-Monticone_Giulia
Chernyshova_Maryna Hoedt_Merel
Bosio_Victoria Kulikova_Anastasia
Liu_Claire Husaric_Anita
Pulchartova_Laetitia Granwehr_Alina
Vismane_Daniela Glushko_Julia
Sevastova_Anastasija Bihan_Kelia
Lapko_Vera Herdzelas_Dea
Visscher_Stephanie Minella_Mandy
Bosio_Victoria Chernyshova_Maryna
Pulchartova_Laetitia Liu_Claire
Vismane_Daniela Sevastova_Anastasija
Visscher_Stephanie Lapko_Vera
Bosio_Victoria Pulchartova_Laetitia
Vismane_Daniela Visscher_Stephanie
Bosio_Victoria Vismane_Daniela
enregistrement_tournoi New-York 2019
Parrizas_Nuria Jovic_Jovana
Baptiste_Hailey Boulter_Katie
Ramirez_Evita Buzarnescu_Mihaela
Zheng_Saisai Krueger_Ashlyn
Brodsky_Gail Nara_Kurumi
Samavati_Sofia Droguet_Aubane
Gram_Olivia Martincova_Tereza
Avdeeva_Julia Papamichail_Despina
Bolsova_Aliona Contreras_Fernanda
Graham_Alexa Brito_Fernanda
Chernyshova_Maryna Cornet_Alize
Lee_Gabriela Bellis_Catherine
Oz_Ipek Palkina_Ksenia
Broady_Naomi Hibi_Mayo
Ene_Cristina Bozovic_Alexandra
Savinykh_Valeria Monroy_Yuliana
Zhang_Ying Kimchi_Shavit
Bolton_Elysia Duan_Yingying
Curovic_Tamara Tomanova_Nikola
Kobayashi_Honoka Peterson_Rebecca
Caregaro_Martina Raducanu_Emma
Oosterhout_Erica Liu_Fangzhou
Fossa_Nicole Gadient_Nicole
Namigata_Junri Moratelli_Angelica
Kurata_Nathaly Cakarevic_Sara
Astakhova_Darya Gracheva_Varvara
Lansere_Sofya Matusova_Barbora
Bertoloni_Anita Sakellaridi_Sapfo
Pavlyuchenkova_Anastasia Babel_Oceane
Barnett_Alicia Koshiishi_Ayumi
