definir_nombre_tournois 10
enregistrement_tournoi Londres 2019
Bartunkova_Nikola Sofia_Ana
Moore_Tara Zheng_Saisai
Dmitrichenko_Yekaterina Mcadoo_Rasheeda
Liu_Chang Kubka_Martyna
Samir_Sandra Lepchenko_Varvara
Garcia_Georgina Karunaratne_Adithya
Duval_Victoria Escauriza_Lara
Popovic_Ivana Hoedt_Merel
Niculescu_Monica Bozovic_Alexandra
Barty_Ashleigh Yashina_Ekaterina
Cengiz_Berfu Vecic_Alexandra
Maria_Tatjana Anisimova_Amanda
Zacarias_Marcela Delai_Melania
Bassols_Marina Jokic_Katarina
Defalco_Jenna Deichmann_Kathinka
Malygina_Elena Samavati_Sofia
Laboutkova_Aneta Bouzkova_Marie
Loredana_Ioana Kozarov_Katarina
Granwehr_Alina Scholsen_Helene
Oz_Ipek Yoruk_Ilay
Sabino_Lisa Gadient_Nicole
Fahey_Katharine Linette_Magda
Schader_Laura Cervino_Celia
Heisen_Vivian Arango_Emiliana
Danilovic_Olga Montez_Pamela
Kolodziejova_Miriam Georgeta_Oana
Vukovic_Draginja BreCkova_Nikola
Puig_Monica Sun_Xuliu
Juhaszova_Vivien Garland_Joanna
Bjorklund_Mirjam Snigur_Daria
Kozyreva_Maria Zaja_Anna
Lu_Jiaxi Custic_Marta
Desai_Zeel Lorenzo_Francesca
Koshiishi_Ayumi Kalinina_Anhelina
Kudermetova_Polina Gadecki_Olivia
Plipuech_Peangtarn Cako_Jacqueline
Salvi_Linda Giovine_Claudia
Trevisan_Martina Kuzmova_Viktoria
Black_Hurricane Kalita_Anhelina
Cepede_Veronica Babic_Vladica
Ene_Cristina Collins_Danielle
Kalinskaya_Anna Stefani_Luisa
Rouvroy_Margaux Ng_Taylor
Lim_Alize Djoubri_Salma
Brancaccio_Nuria Koval_Vlada
Mansouri_Yasmine Okuno_Ayaka
Ostlund_Fanny Begu_Irina-Camelia
Salden_Lara Appleton_Emily
Zavatska_Katarina Ezzat_Yasmin
Gabueva_Angelina Anshba_Amina
Kostova_Elitsa Reyngold_Ekaterina
Kraus_Sinja Komardina_Anastasiya
Bereznyak_Shelly Rogers_Shelby
Pribylova_Anastasia Yepifanova_Alexandra
Liang_En-shuo Hontama_Mai
Kanev_Kathleen Kawaguchi_Natsumi
Pieri_Tatiana Lemoine_Quirine
Putintseva_Yulia Stosur_Samantha
Vandeweghe_CoCo Benoit_Marie
Cadar_Elena-teodora Dolehide_Caroline
Van_Alison Flink_Varvara
Glushko_Julia Brengle_Madison
Strycova_Barbora Bai_Alison
Hindova_Denisa Carreras_Amanda
Bartunkova_Nikola Moore_Tara
Dmitrichenko_Yekaterina Liu_Chang
Garcia_Georgina Samir_Sandra
Popovic_Ivana Duval_Victoria
Niculescu_Monica Barty_Ashleigh
Cengiz_Berfu Maria_Tatjana
Zacarias_Marcela Bassols_Marina
Defalco_Jenna Malygina_Elena
Loredana_Ioana Laboutkova_Aneta
Granwehr_Alina Oz_Ipek
Sabino_Lisa Fahey_Katharine
Schader_Laura Heisen_Vivian
Danilovic_Olga Kolodziejova_Miriam
Vukovic_Draginja Puig_Monica
Juhaszova_Vivien Bjorklund_Mirjam
