definir_nombre_tournois 10
enregistrement_tournoi Londres 2019
Mandlik_Elizabeth Omae_Akiko
Abe_Hiromi Bernardi_Clothilde 
Vickery_Sachia Hogenkamp_Richel
Govortsova_Olga Naef_Celine
Dmitrichenko_Yekaterina Buyukakçay_Çagla
Malygina_Elena Grabher_Julia
Beth_Sarah Jebawy_Jasmin
Caregaro_Martina Niculescu_Monica
Abduraimova_Nigina Herdzelas_Dea
Bogdan_Ana Rogowska_Olivia
Kerkhove_Lesley Gabric_Anna
Sama_Sathwika Fiquet_Tiphanie
Custic_Marta Capurro_Martina
Terziyska_Julia Matusova_Barbora
Bhosale_Rutuja Kubareva_Anna
Bouzo_Noelia Garcia_Caroline
Husaric_Anita Burger_Cindy
Thandi_Karman Garcia_Georgina
Naya_Guillermina Timofeeva_Maria
Aksu_Ayla Lim_Alize
Bacsinszky_Timea Rey_Alba
Lourdes_Maria Catini_Chiara
Lumsden_Maia Muchova_Karolina
Buzarnescu_Mihaela Arshinkova_Petia
Bihan_Kelia Sun_Lulu
Hesse_Amandine Berberovic_Nefisa
Kovinic_Danka Curovic_Tamara
Ueda_Ramu Cakarevic_Sara
Gutierrez_Maria Kalita_Anhelina
Werner_Caroline Gillan_Alice
Charaeva_Alina Konjuh_Ana
Vroome_Indy Lizarazo_Yuliana
Wang_Meiling Fourlis_Jaimee
Kolodynska_Jana Taylor_Gabriella
Lottner_Antonia Jorge_Francisca
Williams_Venus Kalieva_Elvina
Samudio_Antonia Lao_Danielle
Bulgaru_Miriam Guillermo_Lorraine
Jorovic_Ivana Melnikova_Marina
Fruhvirtova_Linda Armitano_Mathilde
Bhatia_Riya Pigato_Lisa
Dagan_Mika Brouleau_Lou
Friedsam_Anna-Lena Cabaj_Jacqueline
Kolodziejova_Miriam Fett_Jana
Hu_Victoria Kaji_Haruka
Cervino_Celia Lorenzo_Francesca
Sorribes_Sara Sakatsume_Himeno
Sanesi_Gaia Ying_Man
Boisson_Lois Demidova_Diana
Shaffer_Kennedy Siniakova_Katerina
Carter_Hayley Namigata_Junri
Evtimova_Dia Ng_Taylor
Marino_Rebecca Duan_Yingying
Chavatipon_Charlotte Oosterhout_Erica
Pigossi_Laura Stadler_Nina
Snigur_Daria Bai_Alison
Milovanovic_Elena Brengle_Madison
Gabueva_Angelina Zakarlyuk_Marianna
Imanishi_Miharu Cornet_Alize
Bojovic_Jana Hobgarski_Katharina
Quadre_Barakat Gao_Xinyu
Baptiste_Hailey Sutjiadi_Aldila
Droguet_Aubane Perrin_Conny
Guerrero_Eva Chaudhari_Vaidehi
Abe_Hiromi Mandlik_Elizabeth
Govortsova_Olga Vickery_Sachia
Dmitrichenko_Yekaterina Malygina_Elena
Caregaro_Martina Beth_Sarah
Abduraimova_Nigina Bogdan_Ana
Kerkhove_Lesley Sama_Sathwika
Terziyska_Julia Custic_Marta
Bouzo_Noelia Bhosale_Rutuja
Husaric_Anita Thandi_Karman
Aksu_Ayla Naya_Guillermina
Lourdes_Maria Bacsinszky_Timea
Buzarnescu_Mihaela Lumsden_Maia
Bihan_Kelia Hesse_Amandine
Ueda_Ramu Kovinic_Danka
Werner_Caroline Gutierrez_Maria
Vroome_Indy Charaeva_Alina
Wang_Meiling Kolodynska_Jana
Lottner_Antonia Williams_Venus
Bulgaru_Miriam Samudio_Antonia
Jorovic_Ivana Fruhvirtova_Linda
Bhatia_Riya Dagan_Mika
Friedsam_Anna-Lena Kolodziejova_Miriam
Hu_Victoria Cervino_Celia
Sanesi_Gaia Sorribes_Sara
Shaffer_Kennedy Boisson_Lois
Evtimova_Dia Carter_Hayley
Marino_Rebecca Chavatipon_Charlotte
Pigossi_Laura Snigur_Daria
Milovanovic_Elena Gabueva_Angelina
