definir_nombre_tournois 10
enregistrement_tournoi Londres 2019
Payola_Julia Montez_Pamela
Brady_Jennifer Namigata_Junri
Ying_Man Yadav_Mihika
Pliskova_Karolina Ma_Ye-Xin
Avdeeva_Julia Dema_Viktoriia
Samir_Sandra Martincova_Tereza
Zarazua_Renata Lu_Jiajing
Muhammad_Asia Matviyenko_Lisa
Bartone_Kamilla Gatica_Barbara
Sharma_Astra Guo_Shanshan
Cao_Siqi Lapko_Vera
Smitkova_Tereza Kiick_Allie
Lottner_Antonia Jeanjean_Leolia
Malygina_Elena Kudashova_Daria
Hradecka_Lucie Ramialison_Irina
Anisimova_Amanda Mateas_Maria
Parry_Diane Flink_Varvara
Kuzmova_Viktoria KrejCikova_Barbora
Lumsden_Maia Arcangioli_Manon
Szabanin_Natalia Badosa_Paula
Hoedt_Merel Lee_Eunhye
Lee_Pei-chi Bihan_Kelia
Garland_Joanna Hosonuma_Chisa
Ce_Gabriela Bolton_Elysia
Wildgruber_Anja Kalinina_Anhelina
Jaruskova_Timea Dabrowski_Gabriela
Drahota_Dorka Gutierrez_Maria
Livianu_Jessica Koval_Vlada
Bosio_Victoria Gabric_Anna
Turati_Bianca Khazaniuk_Deniz
Bara_Irina Maristany_Guiomar
Ma_Shuyue Feng_Shuo
Bojovic_Jana Hobgarski_Katharina
Muramatsu_Chihiro Sanchez_Maria
Dentoni_Corinna Sevastova_Anastasija
Grammatikopoulou_Valentini Antonitsch_Mira
Vishnevskaya_Ekaterina Myers_Abbie
Bejlek_Sara Zidansek_Tamara
Sakellaridi_Sapfo Puig_Monica
Primorac_Iva Gambogi_Sara
Noel_Alexa Bolsova_Aliona
McNally_Catherine Gjorcheska_Lina
Naito_Yuki Bhatia_Riya
Kasatkina_Daria Portillo_Maria
Crescenzi_Giulia Khirin_Nicole
Georgeta_Oana Bondarenko_Kateryna
Pigato_Lisa Sasnovich_Aliaksandra
Gillan_Alice Shibahara_Ena
Andrianjafitrimo_Tessah Sun_Ziyue
Chang_Sophie Luangnam_Nudnida
Naef_Celine Wang_Yafan
Vekic_Donna Lindh_Emilie
Halbauer_Elizabeth Tan_Harmony
Kulambayeva_Zhibek Kalieva_Elvina
Arruabarrena_Lara Garcia_Georgina
Sato_Naho Raducanu_Emma
Stollar_Fanny Gavrilova_Daria
Sarra_Federica Raggi_Angelica
Yang_Yidi Ponchet_Jessika
